ID,Expected,Answer,Is_True,Time(s),Reason,Sources
5750,False,False,True,23.5,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://tuoitrethudo.vn/khai-truong-trung-tam-tiem-chung-5-sao-tai-ha-long-10512.html, https://baomoi.com/nghe-an-chuan-bi-nguon-hai-san-tuoi-ngon-phong-phu-cho-mua-du-lich-c51939512.epi, https://www.anninhthudo.vn/dung-bien-minh-thanh-nan-nhan-cua-lua-dao-du-lich-post541793.antd, https://vnexpress.net/nang-nong-nen-tiem-vaccine-nao-de-phong-benh-4736483.html"
4836,True,False,False,121.1,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://baomoi.com/viet-nam-dam-bao-du-nguon-cung-xang-dau-den-het-thang-4-2026-c54863218.epi, https://vietnamnet.vn/nang-du-tru-xang-dau-len-90-ngay-hien-ke-huy-dong-tu-nguon-rat-giau-tiem-nang-2502459.html, https://vov.vn/kinh-te/xay-dung-kho-du-tru-xang-dau-chien-luoc-quoc-gia-can-thiet-phu-hop-va-kha-thi-post1279311.vov"
4310,False,False,True,17.4,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://cafeland.vn/tin-tuc/thu-tuong-yeu-cau-bo-tai-chinh-nghien-cuu-ap-thue-de-han-che-dau-co-thoi-gia-bat-dong-san-147844.html, https://xaydungchinhsach.chinhphu.vn/thu-tuong-yeu-cau-nghien-cuu-de-xuat-chinh-sach-thue-nham-han-che-hoat-dong-dau-co-bat-dong-san-119250115193118652.htm, https://vnexpress.net/thu-tuong-nghien-cuu-ap-thue-de-han-che-dau-co-thoi-gia-bat-dong-san-5005130.html"
592,True,True,True,20.3,Các mệnh đề kiểm chứng đều đúng theo bằng chứng xá...,"https://cafef.vn/tan-cong-vao-thu-nay-con-gay-hau-qua-khung-khiep-hon-ca-tau-cho-hang-di-qua-eo-bien-hormuz-188260312122434693.chn, https://danviet.vn/nha-may-khu-muoi-o-vung-vinh-tu-huyet-nuoc-cua-hang-trieu-nguoi-va-diem-yeu-chien-luoc-giua-cang-thang-trung-dong-d1414742.html, https://laodong.vn/the-gioi/iran-len-an-my-tan-cong-nha-may-khu-man-nuoc-bien-day-xung-dot-leo-thang-1665696.ldo"
1341,True,True,True,18.8,Các mệnh đề kiểm chứng đều đúng theo bằng chứng xá...,"https://tuoitre.vn/ca-cap-cuu-hy-huu-dan-phao-trong-truc-trang-benh-nhan-bac-si-phai-goi-doi-ra-pha-bom-min-20260204183726981.htm, https://daibieunhandan.vn/hy-huu-dan-phao-the-chien-i-mac-ket-trong-truc-trang-benh-nhan-benh-vien-phai-goi-doi-xu-ly-bom-10405992.html, https://vnexpress.net/benh-vien-nao-loan-vi-qua-dan-phao-the-chien-i-trong-truc-trang-benh-nhan-5013851.html, https://vnexpress.net/dan-phao-20-cm-ket-trong-truc-trang-nguoi-dan-ong-phap-5012780.html"
600,True,True,True,21.0,Các mệnh đề kiểm chứng đều đúng theo bằng chứng xá...,"https://viettimes.vn/bi-loi-vao-cuoc-chien-cac-nuoc-vung-vinh-co-xem-xet-lai-quan-he-dong-minh-voi-my-post195759.html, https://vnexpress.net/tinh-the-cuc-chang-da-cua-cac-nuoc-vung-vinh-trong-chien-su-iran-5054036.html, https://www.vietnamplus.vn/cac-nuoc-vung-vinh-ngay-cang-bat-man-voi-my-ve-chien-tranh-iran-post1101596.vnp"
4932,True,True,True,23.7,Các mệnh đề kiểm chứng đều đúng theo bằng chứng xá...,"https://tuoitre.vn/moi-truong-giao-duc-quoc-te-giup-hoc-sinh-chu-dong-sang-tao-1158184.htm, https://vnexpress.net/ceo-odyssey-moi-truong-coi-mo-giup-hoc-sinh-them-chu-dong-tu-tin-5044128.html, https://ips.igcschool.edu.vn/blog/moi-truong-giao-duc-toan-dien-5-tieu-chi-vang-giup-phu-huynh-danh-gia-chinh-xac"
3708,False,False,True,22.2,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://cafef.vn/chu-tich-fed-jerome-powell-bi-dieu-tra-hinh-su-lan-song-chi-trich-bat-ngo-bung-no-hang-loat-quan-chuc-lon-cua-my-len-tieng-188260113082320572.chn, https://thoibaotaichinhvietnam.vn/lan-song-phan-doi-ngay-cang-gia-tang-sau-cuoc-dieu-tra-hinh-su-doi-voi-chu-tich-fed-jerome-powell-190546.html, https://vneconomy.vn/nhieu-y-kien-phan-doi-cuoc-dieu-tra-hinh-su-nham-vao-chu-tich-fed.htm"
4847,False,False,True,27.2,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://vnexpress.net/thanh-nien-ba-khong-5006817.html, https://baomoi.com/vi-sao-ngay-cang-nhieu-thanh-nien-3-khong-c53586807.epi, https://vnexpress.net/gan-1-6-trieu-thanh-nien-ba-khong-5058448.html, https://kenh14.vn/16-trieu-nguoi-tre-viet-roi-vao-nhom-neet-3-khong-khong-hoc-khong-lam-khong-dao-tao-21525110215381307.chn, https://baomoi.com/khong-chi-viet-nam-co-1-35-trieu-thanh-nien-3-khong-c51944366.epi, https://cafebiz.vn/16-trieu-nguoi-tre-viet-roi-vao-nhom-neet-3-khong-khong-hoc-khong-lam-khong-dao-tao-176251102141951543.chn"
3946,True,False,False,115.7,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://thoibaotaichinhvietnam.vn/vinhomes-ghi-nhan-421-nghin-ty-dong-loi-nhuan-sau-thue-vuot-ke-hoach-nam-2025-191676.html, https://dantri.com.vn/kinh-doanh/vinhomes-cua-ty-phu-pham-nhat-vuong-bao-lai-ky-luc-20260130200344236.htm, https://baomoi.com/vinhomes-khep-lai-nam-2025-voi-doanh-thu-loi-nhuan-cao-ky-luc-c54377538.epi, https://nhipsongkinhdoanh.vn/ceo-tong-thau-vingroup-phat-lenh-cho-100-000-lao-dong--tham-vong--tro-thanh-mot-phan-cua-lich-su-phat-trien-dat-nuoc-26228.htm, https://cafef.vn/vinhomes-lai-ky-luc-16-ty-usd-doanh-thu-7-ty-usd-va-nui-tien-71-ty-usd-chua-ghi-nhan-188260131073238056.chn"
3795,True,True,True,20.1,Các mệnh đề kiểm chứng đều đúng theo bằng chứng xá...,"https://dantri.com.vn/kinh-doanh/hop-long-mua-lai-lumias-tu-chu-phat-trien-thuong-hieu-gia-dung-phong-cach-han-20260227171532293.htm, https://thanhnien.vn/hop-long-hoan-tat-dang-ky-nhan-hieu-lumias-tai-viet-nam-185260227174724721.htm, https://vnexpress.net/hop-long-tiep-quan-thuong-hieu-lumias-tai-viet-nam-5046520.html"
4670,True,False,False,119.7,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://baomoi.com/vi-sao-ai-giup-nvidia-len-huong-c54824019.epi, https://vnexpress.net/cuoc-dua-thoat-khoi-su-phu-thuoc-vao-gpu-cua-ai-5004028.html, https://vneconomy.vn/techconnect/lo-dien-nhung-nguoi-choi-gianh-thi-phan-mang-chip-voi-nvidia.htm, https://cafef.vn/khong-cho-khach-kip-nghi-ngoi-nvidia-lai-khuynh-dao-the-gioi-bang-chip-moi-dung-la-tam-nhin-ke-chien-thang-188260303132823841.chn, https://genk.vn/khong-cho-khach-kip-nghi-ngoi-nvidia-lai-khuynh-dao-the-gioi-bang-chip-moi-dung-la-tam-nhin-ke-chien-thang-165260304081439377.chn, https://hanoimoi.vn/nvidia-chuyen-huong-sang-chip-ai-suy-luan-toc-do-cao-738252.html"
4857,True,False,False,27.8,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://vjol.info.vn/index.php/khxhvn/article/download/75665/64397/, https://baochinhphu.vn/cong-dong-nguoi-viet-nam-o-nuoc-ngoai-nguon-luc-quan-trong-dong-gop-tich-cuc-vao-su-phat-trien-dat-nuoc-10224020900261099.htm, https://nhandan.vn/dot-pha-phat-trien-cong-dong-nguoi-viet-nam-o-nuoc-ngoai-nhanh-ve-so-luong-manh-ve-chat-luong-post932929.html, https://dantri.com.vn/lao-dong-viec-lam/to-chuc-phi-loi-nhuan-co-la-noi-danh-cho-hoc-sinh-20221007212121335.htm, https://www.qdnd.vn/chinh-tri/tin-tuc/cong-dong-nguoi-viet-nam-o-nuoc-ngoai-la-nguon-luc-quan-trong-doi-voi-su-nghiep-xay-dung-va-bao-ve-to-quoc-1018694, https://znews.vn/10-to-chuc-phi-loi-nhuan-co-ngan-sach-hang-ty-do-moi-nam-post455049.html"
5562,False,False,True,120.9,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://baomoi.com/tho-oi-vuot-300-ty-dong-c54550669.epi, https://giaoducthoidai.vn/phim-tho-oi-cua-tran-thanh-vuot-moc-400-ty-dong-post769043.html, https://vnexpress.net/bon-phim-viet-ra-rap-mung-1-tet-binh-ngo-5011850.html, https://baotuyenquang.com.vn/van-hoa/202602/phim-chieu-rap-mua-tet-binh-ngo-cuoc-canh-tranh-gay-gat-c8e6958/, https://nhandan.vn/phim-chieu-rap-mua-tet-binh-ngo-cuoc-canh-tranh-gay-gat-post944484.html, https://vnexpress.net/tho-oi-cua-tran-thanh-thu-gan-250-ty-dong-dip-tet-5042861.html"
5358,False,True,False,17.3,Các mệnh đề kiểm chứng đều đúng theo bằng chứng xá...,"https://baolamdong.vn/be-gao-nha-ngo-thanh-van-7-thang-tuoi-ban-sao-hoan-hao-cua-huy-tran-430534.html, https://ngoisao.vnexpress.net/con-gai-ngo-thanh-van-huy-tran-duoc-khen-giong-bo-nhu-duc-5044879.html, https://cafef.vn/ngo-thanh-van-lan-dau-he-lo-guong-mat-con-gai-tet-dau-tien-cua-be-gao-gay-sot-voi-man-nhan-li-xi-xung-danh-ai-nu-188260221122518639.chn"
4691,True,False,False,20.2,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,https://baomoi.com/may-hut-am-ai-hut-khach-chon-sao-cho-phu-hop-c54638337.epi
